Account,Sentiment,Total_Trades,Total_Volume_USD,Total_PnL,Avg_Trade_Size,Win_Rate,Avg_Fear_Greed_Value,Cluster
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,68,653351.5000000001,3425.96095,9608.110294117649,0.4852941176470588,23.0,3
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,1549,3665028.12,63520.27468300001,2366.0607617817946,0.2795351839896707,77.0806972240155,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,191,1513049.15,-621.54506,7921.723298429319,0.0,41.18848167539267,3
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,1199,4734259.0,60254.251561,3948.506255212677,0.3377814845704754,70.28023352793996,0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,45,426667.97,0.0,9481.510444444444,0.0,49.0,3
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,270,162539.16999999998,1011.258943,601.9969259259259,0.2259259259259259,15.933333333333334,3
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,3497,5836132.71,47791.24778199999,1668.89697169002,0.4235058621675722,81.13954818415785,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,2324,2722493.0,12934.469345,1171.4685886402754,0.3184165232358003,40.71600688468158,3
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4115,4833683.86,35098.877549,1174.6497837181046,0.3375455650060753,65.67679222357229,0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,5399,6313359.24,9467.021637000002,1169.3571476199295,0.3195036117799592,50.02130024078533,3
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,5,1460.13,-961.048507,292.026,0.0,20.8,3
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,256,417993.96,46411.26711,1632.78890625,0.51953125,78.59765625,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,44,313640.09,-16719.913714,7128.183863636365,0.0681818181818181,34.52272727272727,3
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,108,128086.16,44169.810737,1185.982962962963,0.9537037037037036,71.01851851851852,0
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,4,629.0600000000001,-53.631354,157.265,0.0,46.5,3
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,80,316665.65,622.41079,3958.320625,0.075,20.2125,3
